"station_id","lng","lat","district","count"
"C0235",121.1072,31.149,"青浦区",1177
"C0236",121.0512,31.106,"青浦区",737
"C0237",120.9772,31.086,"青浦区",382
"C0238",120.9152,31.121,"青浦区",381
"C0239",121.0422,31.015,"青浦区",316
"C0240",121.0642,30.939,"松江区",608
"C0241",121.1552,31.087,"松江区",501
"C0242",121.1442,31.007,"松江区",802
"C0243",121.1972,30.979,"松江区",940
"C0244",121.5496,31.4898,"崇明区",225
"C0245",121.2622,31.115,"松江区",2027
"C0246",121.3012,31.127,"松江区",6238
"C0247",121.2582,31.082,"松江区",1006
"C0248",121.3032,31.066,"松江区",2217
"C0249",121.3082,31.021,"松江区",1152
"C0251",121.3232,30.952,"松江区",1495
"C0252",121.2352,31.007,"松江区",1345
"C0253",121.2222,31.017,"松江区",2128
"C0254",121.0042,30.888,"Unknown",878
"C0255",121.0842,30.876,"金山区",204
"C0256",121.1592,30.902,"金山区",604
"C0257",121.2442,30.892,"金山区",1090
"C0258",121.3082,30.892,"金山区",1394
"C0259",121.3382,30.86,"金山区",717
"C0260",121.1792,30.832,"金山区",311
"C0261",121.1912,30.792,"金山区",459
"C0262",121.2882,30.813,"金山区",414
"C0263",121.4172,30.7983,"金山区",0
"C0264",121.3582,30.7623,"金山区",654
"C0265",121.3142,30.727,"金山区",553
"C0266",121.3382,30.713,"金山区",505
"C0267",121.4732,30.8303,"奉贤区",661
"C0268",121.4282,30.8643,"奉贤区",325
"C0269",121.3932,30.9043,"奉贤区",457
"C0270",121.4202,30.9663,"奉贤区",853
"C0271",121.4972,30.9873,"奉贤区",1981
"C0272",121.6036,30.9778,"奉贤区",468
"C0273",121.5816,30.9278,"奉贤区",1039
"C0274",121.6526,30.9808,"奉贤区",621
"C0275",121.6456,30.9128,"奉贤区",0
"C0276",121.7226,30.9068,"奉贤区",457
"C0277",121.5082,30.9113,"奉贤区",1566
"C0278",121.4582,30.9033,"奉贤区",815
"C0279",121.4552,30.9183,"奉贤区",1202
"C0280",121.8476,30.8828,"浦东新区",526
"C0281",121.7916,30.9088,"浦东新区",518
"C0282",121.8706,30.9858,"浦东新区",371
"C0283",121.8616,30.9258,"浦东新区",319
"C0284",121.7276,30.9818,"浦东新区",581
"C0285",121.8436,31.0178,"浦东新区",299
"C0286",121.7826,31.0248,"浦东新区",595
"C0287",121.6786,31.0348,"浦东新区",1027
"C0288",121.5956,31.0368,"浦东新区",953
"C0289",121.5786,31.1218,"浦东新区",0
"C0290",121.6226,31.1468,"浦东新区",0
"C0291",121.6446,31.1158,"浦东新区",1790
"C0292",121.7086,31.0748,"浦东新区",0
"C0293",121.7526,31.0928,"浦东新区",0
"C0294",121.7456,31.0518,"浦东新区",792
"C0295",121.7596,31.0478,"浦东新区",942
"C0296",121.7476,31.1388,"浦东新区",514
"C0297",121.7496,31.1918,"浦东新区",2114
"C0298",121.6696,31.1668,"浦东新区",4147
"C0299",121.7236,31.2378,"浦东新区",935
"C0300",121.6846,31.2348,"浦东新区",1004
"C0301",121.6426,31.2278,"浦东新区",1776
"C0302",121.6626,31.2838,"浦东新区",848
"C0303",121.6796,31.2028,"浦东新区",4447
"C0304",121.6956,31.1958,"浦东新区",2583
"C0305",121.4542,31.1093,"徐汇区",2103
"C0306",121.4072,31.0783,"闵行区",2093
"C0307",121.5132,31.1013,"闵行区",0
"C0308",121.4702,31.0433,"闵行区",2031
"C0309",121.5406,31.0728,"闵行区",0
"C0310",121.4202,31.0153,"闵行区",3950
"C0311",121.3822,31.0013,"闵行区",429
"C0312",121.3882,31.0393,"闵行区",0
"C0313",121.5176,31.1448,"浦东新区",0
"C0314",121.4962,31.1663,"浦东新区",0
"C0315",121.4702,31.1433,"浦东新区",0
"C0316",121.5536,31.1488,"浦东新区",3617
"C0317",121.5316,31.1598,"浦东新区",0
"C0318",121.5356,31.1738,"浦东新区",0
"C0319",121.5586,31.1668,"浦东新区",4220
"C0320",121.5886,31.1738,"浦东新区",4136
"C0321",121.6136,31.1838,"浦东新区",0
"C0322",121.6066,31.2688,"浦东新区",2882
"C0323",121.5826,31.2768,"浦东新区",2024
"C0324",121.6046,31.2968,"浦东新区",4262
"C0325",121.6066,31.3198,"浦东新区",3811
"C0326",121.3442,31.323,"嘉定区",824
"C0327",121.4532,31.2523,"静安区",0
"C0328",121.4572,31.2463,"静安区",0
"C0329",121.4672,31.2423,"静安区",0
"C0330",121.4732,31.2363,"黄浦区",0
"C0331",121.4712,31.2273,"黄浦区",0
"C0332",121.4582,31.2223,"黄浦区",1172
"C0333",121.4492,31.2183,"徐汇区",1488
"C0334",121.4442,31.2093,"徐汇区",0
"C0335",121.4372,31.1973,"徐汇区",0
"C0336",121.4332,31.1873,"徐汇区",0
"C0337",121.4322,31.1713,"徐汇区",0
"C0338",121.4142,31.2233,"长宁区",0
"C0339",121.4312,31.2243,"长宁区",0
"C0340",121.4442,31.2273,"静安区",0
"C0341",121.4582,31.2343,"静安区",0
"C0342",121.4692,31.2363,"黄浦区",2657
"C0343",121.4812,31.2413,"黄浦区",3085
"C0344",121.4992,31.2423,"浦东新区",2048
"C0345",121.5142,31.2383,"浦东新区",1542
"C0346",121.5236,31.2328,"浦东新区",0
"C0347",121.5416,31.2218,"浦东新区",0
"C0348",121.5476,31.2118,"浦东新区",0
"C0349",121.5546,31.2068,"浦东新区",3
"C0352",121.4732,31.1963,"黄浦区",0
"C0353",121.2902,31.738,"崇明区",348
"C0354",121.6726,31.3938,"崇明区",681
"C0355",121.4562,31.2103,"徐汇区",0
"C0356",121.4852,31.2163,"黄浦区",2014
"C0357",121.4292,31.2213,"长宁区",7576
"C0358",121.4252,31.1993,"徐汇区",0
"C0359",121.3982,31.1353,"闵行区",5155
"C0360",121.3082,31.17,"青浦区",0
"C0361",121.4692,31.4073,"宝山区",1114
"C0362",121.4062,31.1183,"闵行区",0
"C0363",121.4732,31.2433,"静安区",0
"C0364",121.4632,31.3223,"宝山区",0
"C0365",121.5226,31.3188,"杨浦区",1257
"C0366",121.6486,31.4058,"崇明区",127
"C0367",121.4802,31.2633,"虹口区",1519
"C0368",121.3622,31.1853,"闵行区",2461
"C0369",121.5142,31.2173,"浦东新区",0
"C0370",121.5206,31.2238,"浦东新区",1421
