station_id,lng,lat,district
C0331,121.4712,31.2273,黄浦区
C0332,121.4582,31.2223,黄浦区
C0333,121.4492,31.2183,徐汇区
C0334,121.4442,31.2093,徐汇区
C0335,121.4372,31.1973,徐汇区
C0336,121.4332,31.1873,徐汇区
C0337,121.4322,31.1713,徐汇区
C0338,121.4142,31.2233,长宁区
C0339,121.4312,31.2243,长宁区
C0340,121.4442,31.2273,静安区
C0341,121.4582,31.2343,静安区
C0342,121.4692,31.2363,黄浦区
C0343,121.4812,31.2413,黄浦区
C0344,121.4992,31.2423,浦东新区
C0345,121.5142,31.2383,浦东新区
C0346,121.5236,31.2328,浦东新区
C0347,121.5416,31.2218,浦东新区
C0348,121.5476,31.2118,浦东新区
C0349,121.5546,31.2068,浦东新区
C0352,121.4732,31.1963,黄浦区
C0353,121.2902,31.738,崇明区
C0354,121.6726,31.3938,崇明区
C0355,121.4562,31.2103,徐汇区
C0356,121.4852,31.2163,黄浦区
C0357,121.4292,31.2213,长宁区
C0358,121.4252,31.1993,徐汇区
C0359,121.3982,31.1353,闵行区
C0360,121.3082,31.17,青浦区
C0361,121.4692,31.4073,宝山区
C0362,121.4062,31.1183,闵行区
C0363,121.4732,31.2433,静安区
C0364,121.4632,31.3223,宝山区
C0365,121.5226,31.3188,杨浦区
C0366,121.6486,31.4058,崇明区
C0367,121.4802,31.2633,虹口区
C0368,121.3622,31.1853,闵行区
C0369,121.5142,31.2173,浦东新区
C0370,121.5206,31.2238,浦东新区
C0371,121.5496,31.2348,浦东新区
C0372,121.5296,31.2188,浦东新区
C0373,121.5166,31.2368,浦东新区
C0374,121.5636,31.2598,浦东新区
C0375,121.5346,31.2488,浦东新区
C0376,121.0662,31.059,青浦区
C0377,121.4402,30.8093,奉贤区
C0378,121.3332,30.722,金山区
C0379,121.1872,31.034,松江区
C0380,121.4942,31.2413,浦东新区
C0381,121.4122,31.6723,崇明区
C0383,121.5856,31.5968,崇明区
C0384,121.5186,31.5828,崇明区
C0385,121.4292,31.6223,崇明区
C0386,121.4132,31.6463,崇明区
C0387,121.3862,31.6293,崇明区
C0388,121.4042,31.6403,崇明区
C0389,121.4002,31.6263,崇明区
C0390,121.4332,31.6303,崇明区
C0394,121.4392,31.6153,崇明区
C0396,121.7486,31.3488,崇明区
C0401,121.4572,31.2173,黄浦区
C0402,121.7686,31.4728,崇明区
C0403,121.5112,31.2773,杨浦区
C0404,121.4702,31.2073,黄浦区
C0405,121.4392,31.2873,静安区
C0406,121.3762,31.2773,普陀区
C0407,121.3692,31.2203,长宁区
C0408,121.3762,31.2653,普陀区
C0409,121.4552,31.1793,徐汇区
C0411,121.4032,31.6333,崇明区
C0412,121.5236,31.1978,浦东新区
C0413,121.5122,31.1953,浦东新区
C0414,121.4432,31.1833,徐汇区
C0415,121.3722,31.1193,闵行区
C0416,121.4912,31.1393,浦东新区
C0417,121.5996,31.2538,浦东新区
C0418,121.8026,31.1518,浦东新区
C0419,121.5746,31.2938,浦东新区
C0420,121.3522,31.084,松江区
C0421,121.6076,31.3388,浦东新区
C0422,121.5846,31.2078,浦东新区
C0423,121.5946,31.2798,浦东新区
C0424,121.3842,31.1733,闵行区
C0425,121.4062,31.1703,徐汇区
C0426,121.3762,31.1933,长宁区
C0427,121.3852,31.2103,长宁区
C0428,121.3962,31.2353,普陀区
C0429,121.4162,31.2913,宝山区
C0430,121.3972,31.2483,普陀区
C0431,121.4362,31.3083,静安区
C0432,121.4892,31.2843,虹口区
C0433,121.5082,31.3793,浦东新区
C0434,121.5406,31.3138,杨浦区
C0435,121.5496,31.2868,杨浦区
C0436,121.5022,31.1763,浦东新区
C0437,121.3652,31.1743,闵行区
C0438,121.5886,31.1468,浦东新区
C0439,121.4452,31.1483,徐汇区
C0440,121.4052,31.2043,长宁区
C0441,121.3622,31.2533,嘉定区
C0442,121.7866,31.3548,崇明区
C0443,121.6276,31.5428,崇明区
C0444,121.1992,31.053,松江区
C0445,121.5496,30.8708,奉贤区
C0446,121.6366,30.8678,奉贤区
C0447,121.7946,31.1648,浦东新区
C0448,121.4382,31.4363,宝山区
C0449,121.2552,31.395,嘉定区
C0450,121.2702,31.424,嘉定区
C0451,121.4062,31.4043,宝山区
C0452,121.4042,31.0033,闵行区
C0453,121.3652,31.0683,闵行区
C0454,121.0212,30.973,青浦区
C0455,121.7546,31.1218,浦东新区
C0456,121.7046,31.1218,浦东新区
C0457,121.5246,31.0268,闵行区
C0458,121.5856,31.3578,浦东新区
C0459,121.5176,30.8358,奉贤区
C0460,121.3782,31.4213,宝山区
C0461,121.3002,31.384,嘉定区
C0462,121.3812,31.3673,宝山区
C0463,121.2332,31.292,嘉定区
C0464,121.1462,31.349,嘉定区
C0465,121.3142,31.34,嘉定区
C0466,121.1772,31.199,青浦区
C0467,121.0832,31.256,青浦区
